start_date,end_date,start_act360_years,true_forward_rate,recovered_forward_rate,error_bp
2045-10-06,2045-11-03,19.32777777777778,0.07351247242179154,0.07375345687572064,2.409844539291023
2045-10-13,2045-11-10,19.34722222222222,0.07350966156658581,0.07375345687572064,2.437953091348338
2045-10-20,2045-11-17,19.366666666666667,0.07350685160501096,0.07375345687572349,2.4660527071253266
2045-10-27,2045-11-24,19.386111111111113,0.07350404257300681,0.07375345687571778,2.4941430271097076
2045-11-03,2045-12-01,19.405555555555555,0.07350123450620202,0.07375345687572349,2.5222236952146537
2045-11-10,2045-12-08,19.425,0.07349842743997113,0.07375345687572064,2.5502943574950976
2045-11-17,2045-12-15,19.444444444444443,0.07349562140945462,0.07375345687572349,2.5783546626886866
2045-11-24,2045-12-22,19.46388888888889,0.07349281644949317,0.07375345687572635,2.606404262331802
2045-12-01,2045-12-29,19.483333333333334,0.07349001259468199,0.07375345687572064,2.6344428103865223
2045-12-08,2046-01-05,19.502777777777776,0.07348720987935359,0.07375345687572349,2.66246996369901
2045-12-15,2046-01-12,19.522222222222222,0.07348440833760359,0.07375345687572064,2.6904853811705873
2045-12-22,2046-01-19,19.541666666666668,0.07348160800322491,0.07375345687572064,2.7184887249573353
2045-12-29,2046-01-26,19.56111111111111,0.07347880890980786,0.07375345687572064,2.7464796591278318
2046-01-05,2046-02-02,19.580555555555556,0.07347601109065721,0.07375345687572064,2.774457850634321
2046-01-12,2046-02-09,19.6,0.07347321457880941,0.07375345687572349,2.8024229691407667
2046-01-19,2046-02-16,19.619444444444444,0.07347041940709818,0.07375345687572064,2.8303746862246015
2046-01-26,2046-02-23,19.63888888888889,0.07346762560806035,0.07375345687571778,2.8583126765743816
2046-02-02,2046-03-02,19.658333333333335,0.07346483321400152,0.07375345687572064,2.8862366171912566
2046-02-09,2046-03-09,19.677777777777777,0.07346204225699315,0.07375345687572349,2.914146187303346
2046-02-16,2046-03-16,19.697222222222223,0.07345925276881271,0.07375345687572349,2.9420410691077814
2046-02-23,2046-03-23,19.716666666666665,0.07345646478105206,0.07375345687572635,2.969920946742921
2046-03-02,2046-03-30,19.73611111111111,0.07345367832501186,0.07375345687572635,2.9977855071448847
2046-03-09,2046-04-06,19.755555555555556,0.07345089343176442,0.07375345687572064,3.025634439562247
2046-03-16,2046-04-13,19.775,0.07344811013215935,0.07375345687572349,3.0534674356413882
2046-03-23,2046-04-20,19.794444444444444,0.07344532845676076,0.07375345687572349,3.0812841896273033
2046-03-30,2046-04-27,19.81388888888889,0.07344254843593293,0.07375345687572064,3.1090843978771874
2046-04-06,2046-05-04,19.833333333333332,0.07343977009978035,0.07375345687572349,3.1368677594313663
2046-04-13,2046-05-11,19.852777777777778,0.07343699347816772,0.07375345687572349,3.16463397555769
2046-04-20,2046-05-18,19.872222222222224,0.07343421860073704,0.07375345687572064,3.1923827498360478
2046-04-27,2046-05-25,19.891666666666666,0.07343144549689049,0.07375345687572064,3.220113788301587
2046-05-04,2046-06-01,19.91111111111111,0.07342867419579045,0.07375345687571778,3.2478267992733234
2046-05-11,2046-06-08,19.930555555555557,0.07342590472635951,0.07375345687572064,3.2755214936112944
2046-05-18,2046-06-15,19.95,0.07342313711731473,0.07375345687572635,3.303197584116208
2046-05-25,2046-06-22,19.969444444444445,0.07342037139709616,0.07375345687572349,3.3308547862732905
2046-06-01,2046-06-29,19.988888888888887,0.0734176075939641,0.07375345687572635,3.358492817622516
2046-06-08,2046-07-06,20.008333333333333,0.07341484573592469,0.07375345687572064,3.386111397959551
2046-06-15,2046-07-13,20.02777777777778,0.07341208585073858,0.07375345687572064,3.4137102498206504
2046-06-22,2046-07-20,20.04722222222222,0.07340932796598944,0.07375345687572349,3.441289097340511
2046-06-29,2046-07-27,20.066666666666666,0.07340657210898398,0.07375345687572064,3.468847667366659
2046-07-06,2046-08-03,20.086111111111112,0.07340381830683482,0.07375345687572349,3.496385688886716
2046-07-13,2046-08-10,20.105555555555554,0.07340106658642329,0.07375345687572635,3.523902893030617
2046-07-20,2046-08-17,20.125,0.07339831697440521,0.07375345687572635,3.5513990132113316
2046-07-27,2046-08-24,20.144444444444446,0.0733955694972166,0.07375345687572064,3.5788737850404875
2046-08-03,2046-08-31,20.163888888888888,0.07339282418108788,0.07375345687572349,3.606326946356125
2046-08-10,2046-09-07,20.183333333333334,0.073390081052004,0.07375345687572349,3.633758237194945
2046-08-17,2046-09-14,20.20277777777778,0.07338734013575003,0.07375345687571778,3.661167399677534
2046-08-24,2046-09-21,20.22222222222222,0.07338460145789126,0.07372251388106552,3.379124231742553
2046-08-31,2046-09-28,20.241666666666667,0.0733818650437731,0.07350591499169548,1.2404994792238055
2046-09-07,2046-10-05,20.261111111111113,0.07337913091853832,0.07328931973047752,-0.8981118806079824
2046-09-14,2046-10-12,20.280555555555555,0.07337639910710696,0.07307272809735167,-3.0367100975528527
2046-09-21,2046-10-19,20.3,0.07337366963417928,0.07288708101370579,-4.865886204734881
2046-09-28,2046-10-26,20.319444444444443,0.07337094252425569,0.07288708101370865,-4.838615105470373
2046-10-05,2046-11-02,20.33888888888889,0.07336821780163102,0.07288708101370865,-4.811367879223733
2046-10-12,2046-11-09,20.358333333333334,0.07336549549037175,0.07288708101370579,-4.784144766659532
2046-10-19,2046-11-16,20.377777777777776,0.07336277561436161,0.07288708101370865,-4.756946006529566
2046-10-26,2046-11-23,20.397222222222222,0.07336005819724743,0.07288708101370865,-4.729771835387808
2046-11-02,2046-11-30,20.416666666666668,0.07335734326249042,0.07288708101370579,-4.702622487846309
2046-11-09,2046-12-07,20.43611111111111,0.07335463083335197,0.07288708101370865,-4.675498196433231
2046-11-16,2046-12-14,20.455555555555556,0.07335192093287368,0.07288708101370865,-4.648399191650304
2046-11-23,2046-12-21,20.475,0.0733492135839001,0.07288708101370579,-4.621325701943125
