scenario,reference_date,method,bump_bp,shock_index,shock_tenor,node_index,node_tenor,node_date,maturity_distance,central_sensitivity_bp_per_bp,curvature_bp_per_bp2
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,8,4Y,2030-09-20,5,-0.002114997483884662,8.958779551537788e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,9,5Y,2031-09-22,6,-0.0016878000148878858,7.16102732667423e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,10,7Y,2033-09-21,7,-0.0012170552288887082,5.12226233650992e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,11,10Y,2036-09-22,8,-0.000871753520342855,3.5918434893034146e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,12,15Y,2041-09-20,9,-0.0006017591420298674,2.4027654865754755e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,13,20Y,2046-09-20,10,-0.0004611590045944247,1.8051282690834114e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,3,6M,14,30Y,2056-09-20,11,-0.0003143347363648852,1.2058534726300252e-07
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,0,1M,2026-10-21,-4,-3.0531133177191805e-11,1.2212453270876722e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,1,2M,2026-11-20,-3,0.0,-5.134781488891349e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,2,3M,2026-12-22,-2,-8.604228440844963e-12,-4.274358644806853e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,3,6M,2027-03-22,-1,-1.124100812432971e-11,9.880984919163893e-11
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,4,9M,2027-06-22,0,1.0436305776830719,5.093479846229876e-05
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,5,1Y,2027-09-22,1,-0.032312284154664694,7.632331849860563e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,6,2Y,2028-09-20,2,-0.0066899203676057395,4.126994440634135e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,7,3Y,2029-09-20,3,-0.004402836336556137,2.74965508695324e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,8,4Y,2030-09-20,4,-0.0032727274521665572,2.0622649421486727e-06
FTIIE_KNOWN_TRUTH_V1,2026-09-18,LOG_LINEAR_DF,1.0,4,9M,9,5Y,2031-09-22,5,-0.002611762147317065,1.6484545672934559e-06
