date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error
2043-02-06,16.625,0.3060485395707156,0.30622326375372816,0.30624539569802417,0.00017472418301256454,0.0001968561273085756
2043-02-13,16.644444444444446,0.30561037220102405,0.305785678230185,0.30580924582008234,0.00017530602916093763,0.00019887361905829293
2043-02-20,16.663888888888888,0.30517284649927373,0.3053487180056086,0.3053736877451026,0.00017587150633485704,0.00020084124582886442
2043-02-27,16.683333333333334,0.3047359615494613,0.304912382186462,0.30493872071387024,0.0001764206370006849,0.00020275916440892772
2043-03-06,16.70277777777778,0.30429971643628667,0.3044766698804852,0.30450434396808174,0.00017695344419854653,0.0002046275317950652
2043-03-13,16.72222222222222,0.30386411024515786,0.30404158019669336,0.3040705567503436,0.0001774699515355027,0.00020644650518575336
2043-03-20,16.741666666666667,0.3034291420621953,0.30360711224537457,0.3036373583041712,0.00017797018317927682,0.0002082162419759226
2043-03-27,16.761111111111113,0.30299481097423747,0.30317326513808823,0.3032047478739881,0.00017845416385076085,0.000209936899750629
2043-04-03,16.780555555555555,0.3025611160688459,0.3027400379876637,0.302772724705125,0.00017892191881779818,0.00021160863627911475
2043-04-10,16.8,0.30212805643430907,0.3023074299081977,0.30234128804381816,0.00017937347388863323,0.00021323160950909026
2043-04-17,16.819444444444443,0.30169563115964815,0.3018754400150531,0.30191043713720955,0.0001798088554049726,0.0002148059775614053
2043-04-24,16.83888888888889,0.30126383933462153,0.3014440674248568,0.3014801712333445,0.0001802280902352682,0.00021633189872294345
2043-05-01,16.858333333333334,0.30083268004972913,0.3010133112554981,0.30105048958117164,0.0001806312057689441,0.00021780953144251436
2043-05-08,16.877777777777776,0.3004021523962176,0.3005831706261267,0.30062139143054195,0.00018101822990912453,0.00021923903432435887
2043-05-15,16.897222222222222,0.2999722554660843,0.30015364465715105,0.3001928760322068,0.00018138919106674978,0.00022062056612248693
2043-05-22,16.916666666666668,0.29954298835208254,0.2997247324702366,0.29976494263781794,0.0001817441181540813,0.000221954285735404
2043-05-29,16.93611111111111,0.2991143501477258,0.2992964331883039,0.29933759049992636,0.000182083040578096,0.00022324035220055993
2043-06-05,16.955555555555556,0.2986863399472919,0.29886874593552665,0.29891081887198057,0.0001824059882347684,0.0002244789246886869
2043-06-12,16.975,0.2982589568458278,0.2984416698373304,0.2984846270083265,0.00018271299150257603,0.00022567016249869232
2043-06-19,16.994444444444444,0.2978321999391545,0.2980152040203901,0.2980590141642063,0.00018300408123561596,0.00022681422505183013
2043-06-26,17.01388888888889,0.2974060683238699,0.29758934761262884,0.29763397959575666,0.00018327928875894184,0.00022791127188676041
2043-07-03,17.033333333333335,0.2969805610973545,0.2971640997432159,0.29720952256000865,0.000183538645861403,0.00022896146265416473
2043-07-10,17.052777777777777,0.296555677357775,0.296739459542565,0.2967856423148866,0.00018378218478998232,0.0002299649571115836
2043-07-17,17.072222222222223,0.2961314162040889,0.29631542614233225,0.29636233811920637,0.00018400993824335687,0.00023092191511747684
2043-07-24,17.091666666666665,0.2957077767360481,0.295891998675415,0.2959396092326756,0.000184221939366902,0.00023183249662750427
