date,act360_years,true_discount_factor,log_linear_discount_factor,linear_continuous_zero_discount_factor,cubic_continuous_zero_discount_factor,log_linear_error,linear_continuous_zero_error,cubic_continuous_zero_error
2036-02-01,9.508333333333333,0.5170966932030928,0.5169094796854908,0.5171765668570228,0.5171025419883498,-0.00018721351760198068,7.987365393002932e-05,5.8487852570010546e-06
2036-02-08,9.527777777777779,0.5163637545363736,0.5161837202510703,0.5164432385949039,0.5163693040212489,-0.0001800342853033321,7.948405853031026e-05,5.549484875300159e-06
2036-02-15,9.547222222222222,0.5156317486612318,0.5154589798089055,0.515710801659135,0.5156369974433743,-0.00017276885232631045,7.905299790311737e-05,5.24878214247515e-06
2036-02-22,9.566666666666666,0.5149006753007107,0.5147352569282947,0.5149792552071024,0.514905622350605,-0.0001654183724160152,7.857990639170698e-05,4.947049894288291e-06
2036-02-29,9.58611111111111,0.5141705341722024,0.5140125501805449,0.5142485983966192,0.5141751788404217,-0.00015798399165745103,7.806422441680727e-05,4.644668219366821e-06
2036-03-07,9.605555555555556,0.5134413249874692,0.5132908581389692,0.5135188303859253,0.5134456670118764,-0.00015046684849995273,7.750539845607918e-05,4.342024407244516e-06
2036-03-14,9.625,0.5127130474526678,0.5125701793788839,0.5127899503336876,0.5127170869655623,-0.0001428680737838306,7.690288101980247e-05,4.039512894515873e-06
2036-03-21,9.644444444444444,0.5119857012683698,0.5118505124776054,0.512061957399001,0.511989438803583,-0.00013518879076446222,7.62561306311138e-05,3.737535213210741e-06
2036-03-28,9.66388888888889,0.511259286129586,0.5111318560144474,0.5113348507413877,0.5112627226295242,-0.0001274301151386048,7.556461180169283e-05,3.436499938169746e-06
2036-04-04,9.683333333333334,0.5105338017257884,0.510414208570719,0.5106086295207988,0.5105369385484233,-0.0001195931550694862,7.482779501033487e-05,3.1368226348638117e-06
2036-04-11,9.702777777777778,0.5098092477409336,0.5096975687297205,0.5098832928976137,0.5098120866667397,-0.00011167901121311719,7.404515668008038e-05,2.838925806103454e-06
2036-04-18,9.722222222222221,0.5090856238534854,0.5089819350767416,0.5091588400326408,0.5090881670923258,-0.0001036887767438266,7.321617915534429e-05,2.5432388404134088e-06
2036-04-25,9.741666666666667,0.5083629297364395,0.5082673061990584,0.5084352700871179,0.5083651799343981,-9.562353738112872e-05,7.23403506783793e-05,2.2501979586309062e-06
2036-05-02,9.761111111111111,0.5076411650573451,0.5075536806859301,0.5077125822227126,0.5076431253035079,-8.74843714150364e-05,7.141716536751552e-05,1.9602461627243883e-06
2036-05-09,9.780555555555555,0.5069203294783303,0.5068410571285971,0.5069907756015226,0.5069220033115128,-7.927234973326147e-05,7.044612319229149e-05,1.6738331825028041e-06
2036-05-16,9.8,0.5062004226561244,0.5061294341202776,0.5062698493860757,0.5062018140715481,-7.098853584686093e-05,6.942672995124965e-05,1.3914154236571719e-06
2036-05-23,9.819444444444445,0.505481444242083,0.5054188102561646,0.5055498027393309,0.5054825576979981,-6.263398591832559e-05,6.835849724795562e-05,1.113455915136008e-06
2036-05-30,9.838888888888889,0.5047633938822109,0.5047091841334244,0.504830634824678,0.5047642343064684,-5.420974878656004e-05,6.72409424671283e-05,8.404242575199561e-07
2036-06-06,9.858333333333333,0.5040462712171873,0.5040005543511918,0.5041123448059385,0.5040468440137572,-4.571686599541547e-05,6.607358875121427e-05,5.727965699531268e-07
2036-06-13,9.877777777777778,0.5033300758823888,0.5032929195105693,0.5033949318473655,0.5033303869378277,-3.7156371819446754e-05,6.485596497673995e-05,3.1105543896181587e-07
2036-06-20,9.897222222222222,0.5026148075079151,0.5025862782146232,0.5026783951136444,0.50261486319778,-2.8529293291890134e-05,6.358760572933164e-05,5.568986494175476e-08
2036-06-27,9.916666666666666,0.5019004657186127,0.5018806290683812,0.5019627337698932,0.5019002729138247,-1.9836650231530584e-05,6.226805128051183e-05,-1.9280478802397027e-07
2036-07-04,9.936111111111112,0.5011870501340995,0.5011759706788292,0.5012479469816625,0.5011866162072535,-1.107945527023535e-05,6.089684756305225e-05,-4.3392684601073483e-07
2036-07-11,9.955555555555556,0.5004745603687896,0.5004723016549099,0.5005340339149364,0.500473893200414,-2.258713879710328e-06,5.947354614688205e-05,-6.671683755454794e-07
2036-07-18,9.975,0.49976299603191837,0.4997696206075181,0.49982099373613237,0.4997621040166814,6.624575599745164e-06,5.799770421399675e-05,-8.920152369529255e-07
2036-07-25,9.994444444444444,0.4990523567275668,0.49906792614949946,0.4991088256121018,0.4990512487804318,1.556942193264854e-05,5.6468884534977004e-05,-1.1079471350372572e-06
2036-08-01,10.01388888888889,0.49834264205468704,0.49836721689564706,0.49839752871013027,0.4983413276170155,2.457484096002327e-05,5.488665544323146e-05,-1.3144376715401584e-06
2036-08-08,10.033333333333333,0.4976338516071268,0.49766749146269906,0.49768710219793805,0.49763234065273104,3.363985557225391e-05,5.325059081123795e-05,-1.5109543957669835e-06
2036-08-15,10.052777777777777,0.4969259849736553,0.49696874846933564,0.49697754524368026,0.49692428801479765,4.276349568033133e-05,5.156027002495289e-05,-1.6969588576554173e-06
2036-08-22,10.072222222222223,0.49621904173798803,0.4962709865361763,0.49626885701594714,0.49621716983133,5.19447981882637e-05,4.9815277959108784e-05,-1.8719066580130672e-06
2036-08-29,10.091666666666667,0.49551302147881227,0.4955742042857774,0.49556103668376467,0.49551098623131185,6.118280696515432e-05,4.801520495240075e-05,-2.0352475004203896e-06
2036-09-05,10.11111111111111,0.49480792376981186,0.49487840034262937,0.49485408341659476,0.49480573734456984,7.047657281750164e-05,4.615964678289508e-05,-2.186425242023393e-06
2036-09-12,10.130555555555556,0.4941037481796938,0.49418357333315355,0.49414799638433543,0.49410142330174817,7.982515345972274e-05,4.424820464160595e-05,-2.32487794565861e-06
2036-09-19,10.15,0.493400494272213,0.4934897218857002,0.49344277475732157,0.493398044234283,8.922761348723052e-05,4.2280485108570076e-05,-2.450037929979665e-06
2036-09-26,10.169444444444444,0.49269816160619817,0.49278872121034056,0.4927441469062385,0.4926956002458215,9.055960414239284e-05,4.598530004035206e-05,-2.5613603766849735e-06
2036-10-03,10.188888888888888,0.4919967497355773,0.49208263248141576,0.4920506874508324,0.4919940909608249,8.588274583848365e-05,5.39377152551368e-05,-2.658774752362092e-06
2036-10-10,10.208333333333334,0.49129625820940354,0.4913775554665819,0.49135810068186747,0.4912935156051177,8.129725717836989e-05,6.184247246393548e-05,-2.7426042858436084e-06
2036-10-17,10.227777777777778,0.4905966865718811,0.49067348871621186,0.49066638566185145,0.49059387339142857,7.68021443307565e-05,6.969908997034313e-05,-2.8131804525322046e-06
2036-10-24,10.247222222222222,0.48989803436239104,0.4899704307827555,0.4899755414540624,0.4898951635314388,7.239642036444005e-05,7.750709167136938e-05,-2.8708309522396114e-06
2036-10-31,10.266666666666667,0.4892003011155168,0.48926838022073693,0.48928556712254834,0.4891973852357902,6.807910522010907e-05,8.526600703151477e-05,-2.91587972661711e-06
2036-11-07,10.286111111111111,0.48850348636107116,0.48856733558675125,0.48859646173212773,0.48850053771409213,6.384922568009044e-05,9.29753710565695e-05,-2.948646979028524e-06
2036-11-14,10.305555555555555,0.48780758962412113,0.4878672954394619,0.4879082243483881,0.4878046201749291,5.970581534076036e-05,0.00010063472426696807,-2.969449192036233e-06
2036-11-21,10.325,0.48711261042501447,0.48716825833959737,0.48722085403768667,0.4871096318258685,5.5647914582901414e-05,0.00010824361267219862,-2.978599145941896e-06
